;Line;Location;Type;Date;Due Date;Past Due
621;208;P13;Process TDU;2015-05-28 00:00:00.000;2019-05-07 00:00:00.000;-482 days +00:00:00.000000000
622;210;P1;Process TDU;2015-08-02 00:00:00.000;2019-07-12 00:00:00.000;-416 days +00:00:00.000000000
623;210;P23;Process TDU;2015-08-02 00:00:00.000;2019-07-12 00:00:00.000;-416 days +00:00:00.000000000
624;209;P7;Process TDU;2015-08-05 00:00:00.000;2019-07-15 00:00:00.000;-413 days +00:00:00.000000000
625;201;P19;Process TDU;2015-08-08 00:00:00.000;2019-07-18 00:00:00.000;-410 days +00:00:00.000000000
626;209;P13;Process TDU;2015-10-03 00:00:00.000;2019-09-12 00:00:00.000;-354 days +00:00:00.000000000
627;210;P27;Process TDU;2015-10-16 00:00:00.000;2019-09-25 00:00:00.000;-341 days +00:00:00.000000000
628;210;P7;Process TDU;2015-11-20 00:00:00.000;2019-10-30 00:00:00.000;-306 days +00:00:00.000000000
629;210;P17;Process TDU;2015-12-05 00:00:00.000;2019-11-14 00:00:00.000;-291 days +00:00:00.000000000
630;208;P26;Process TDU;2015-12-12 00:00:00.000;2019-11-21 00:00:00.000;-284 days +00:00:00.000000000
631;210;P2;Process TDU;2016-01-02 00:00:00.000;2019-12-12 00:00:00.000;-263 days +00:00:00.000000000
632;209;P6;Process TDU;2016-01-03 00:00:00.000;2019-12-13 00:00:00.000;-262 days +00:00:00.000000000
633;209;VTC;Process TDU;2016-01-03 00:00:00.000;2019-12-13 00:00:00.000;-262 days +00:00:00.000000000
634;205;P1;Process TDU;2016-02-23 00:00:00.000;2020-02-02 00:00:00.000;-211 days +00:00:00.000000000
635;205;P3;Process TDU;2016-02-23 00:00:00.000;2020-02-02 00:00:00.000;-211 days +00:00:00.000000000
637;210;VTC;Process TDU;2016-04-19 00:00:00.000;2020-03-29 00:00:00.000;-155 days +00:00:00.000000000
638;209;P14;Process TDU;2016-04-29 00:00:00.000;2020-04-08 00:00:00.000;-145 days +00:00:00.000000000
639;209;P17;Process TDU;2016-04-29 00:00:00.000;2020-04-08 00:00:00.000;-145 days +00:00:00.000000000
640;203;ULC;Process TDU;2016-05-18 00:00:00.000;2020-04-27 00:00:00.000;-126 days +00:00:00.000000000
641;208;P6;Process TDU;2016-05-14 00:00:00.000;2020-04-23 00:00:00.000;-130 days +00:00:00.000000000
642;208;P24;Process TDU;2016-05-14 00:00:00.000;2020-04-23 00:00:00.000;-130 days +00:00:00.000000000
643;203;P7;Process TDU;2016-06-04 00:00:00.000;2020-05-14 00:00:00.000;-109 days +00:00:00.000000000
