;Line;Location;Type;Date;Due Date;Past Due
1036;205;P2;Cryopump;2018-12-08 00:00:00.000;2020-09-28 00:00:00.000;30 days 00:00:00.000000000
1037;205;P3;Cryopump;2018-08-20 00:00:00.000;2020-06-10 00:00:00.000;-80 days +00:00:00.000000000
1038;205;P4;Cryopump;2018-11-03 00:00:00.000;2020-08-24 00:00:00.000;-5 days +00:00:00.000000000
1039;205;P5;Cryopump;2018-07-05 00:00:00.000;2020-04-25 00:00:00.000;-126 days +00:00:00.000000000
1040;205;P6;Cryopump;2018-04-21 00:00:00.000;2020-02-10 00:00:00.000;-201 days +00:00:00.000000000
1041;205;P7;Cryopump;2018-12-03 00:00:00.000;2020-09-23 00:00:00.000;25 days 00:00:00.000000000
1042;205;P8;Cryopump;2019-09-28 00:00:00.000;2021-07-19 00:00:00.000;324 days 00:00:00.000000000
1043;205;P9;Cryopump;2018-06-06 00:00:00.000;2020-03-27 00:00:00.000;-155 days +00:00:00.000000000
1044;205;P10;Cryopump;2020-02-01 00:00:00.000;2021-11-22 00:00:00.000;450 days 00:00:00.000000000
1045;205;P11;Cryopump;2020-02-22 00:00:00.000;2021-12-13 00:00:00.000;471 days 00:00:00.000000000
1046;205;P12;Cryopump;2019-01-18 00:00:00.000;2020-11-08 00:00:00.000;71 days 00:00:00.000000000
1047;205;P13;Cryopump;2018-07-10 00:00:00.000;2020-04-30 00:00:00.000;-121 days +00:00:00.000000000
1048;205;P14;Cryopump;2019-08-19 00:00:00.000;2021-06-09 00:00:00.000;284 days 00:00:00.000000000
1049;205;P15;Cryopump;2018-12-15 00:00:00.000;2020-10-05 00:00:00.000;37 days 00:00:00.000000000
1050;205;P16;Cryopump;2019-10-17 00:00:00.000;2021-08-07 00:00:00.000;343 days 00:00:00.000000000
1051;202;P14;Cryopump;2020-08-14 00:00:00.000;2022-06-05 00:00:00.000;645 days 00:00:00.000000000
1052;205;P18;Cryopump;2019-11-09 00:00:00.000;2021-08-30 00:00:00.000;366 days 00:00:00.000000000
1053;205;P19;Cryopump;2020-03-15 00:00:00.000;2022-01-04 00:00:00.000;493 days 00:00:00.000000000
1054;205;P20;Cryopump;2020-02-22 00:00:00.000;2021-12-13 00:00:00.000;471 days 00:00:00.000000000
1055;205;P21;Cryopump;2020-03-15 00:00:00.000;2022-01-04 00:00:00.000;493 days 00:00:00.000000000
1056;205;P22;Cryopump;2020-03-15 00:00:00.000;2022-01-04 00:00:00.000;493 days 00:00:00.000000000
1057;208;P1;Cryopump;2018-11-28 00:00:00.000;2020-09-18 00:00:00.000;20 days 00:00:00.000000000
1058;208;P10;Cryopump;2019-09-22 00:00:00.000;2021-07-13 00:00:00.000;318 days 00:00:00.000000000
1059;208;P11;Cryopump;2019-01-29 00:00:00.000;2020-11-19 00:00:00.000;82 days 00:00:00.000000000
1060;208;P12;Cryopump;2018-12-29 00:00:00.000;2020-10-19 00:00:00.000;51 days 00:00:00.000000000
1061;208;P13;Cryopump;2019-12-27 00:00:00.000;2021-10-17 00:00:00.000;414 days 00:00:00.000000000
1062;208;P14;Cryopump;2019-03-20 00:00:00.000;2021-01-08 00:00:00.000;132 days 00:00:00.000000000
1063;208;P16;Cryopump;2020-04-25 00:00:00.000;2022-02-14 00:00:00.000;534 days 00:00:00.000000000
1064;208;P17;Cryopump;2020-05-05 00:00:00.000;2022-02-24 00:00:00.000;544 days 00:00:00.000000000
1065;208;P18;Cryopump;2019-05-15 00:00:00.000;2021-03-05 00:00:00.000;188 days 00:00:00.000000000
1066;208;P19;Cryopump;2019-09-22 00:00:00.000;2021-07-13 00:00:00.000;318 days 00:00:00.000000000
1067;208;P2;Cryopump;2019-07-06 00:00:00.000;2021-04-26 00:00:00.000;240 days 00:00:00.000000000
1068;208;P20;Cryopump;2019-09-22 00:00:00.000;2021-07-13 00:00:00.000;318 days 00:00:00.000000000
1069;208;P22;Cryopump;2019-09-22 00:00:00.000;2021-07-13 00:00:00.000;318 days 00:00:00.000000000
1070;208;P23;Cryopump;2018-10-03 00:00:00.000;2020-07-24 00:00:00.000;-36 days +00:00:00.000000000
1071;208;P24;Cryopump;2020-03-12 00:00:00.000;2022-01-01 00:00:00.000;490 days 00:00:00.000000000
1072;208;P3;Cryopump;2018-08-10 00:00:00.000;2020-05-31 00:00:00.000;-90 days +00:00:00.000000000
1073;208;P4;Cryopump;2020-03-12 00:00:00.000;2022-01-01 00:00:00.000;490 days 00:00:00.000000000
1074;208;P5;Cryopump;2018-08-28 00:00:00.000;2020-06-18 00:00:00.000;-72 days +00:00:00.000000000
1075;208;P6;Cryopump;2018-09-07 00:00:00.000;2020-06-28 00:00:00.000;-62 days +00:00:00.000000000
1076;208;P8;Cryopump;2020-02-26 00:00:00.000;2021-12-17 00:00:00.000;475 days 00:00:00.000000000
1077;208;P9;Cryopump;2019-07-05 00:00:00.000;2021-04-25 00:00:00.000;239 days 00:00:00.000000000
1078;209;P17;Cryopump;2018-08-28 00:00:00.000;2020-06-18 00:00:00.000;-72 days +00:00:00.000000000
1079;209;P20;Cryopump;2018-08-28 00:00:00.000;2020-06-18 00:00:00.000;-72 days +00:00:00.000000000
